,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
949,123.0,4.8,4.8,1181.99
950,705.5,135.18,135.18,1710.97
951,705.5,136.6,136.6,1706.7
952,606.0,210.24,210.24,2770.32
953,813.0,260.2,260.2,552.8
954,764.8,216.17,216.17,4389.07
955,265.08,97.49,97.49,167.59
956,597.0,173.0,173.0,424.0
957,1551.2,0.0,333.77,6087.15
958,1584.6,0.0,369.86,1214.74
959,674.82,0.0,88.53,1172.58
960,18482.78,2613.6,2613.6,31738.36
961,720.0,0.0,129.95,1770.15
962,9700.0,0.0,0.0,9700.0
963,653.0,223.04,223.04,429.96
964,1100.0,0.0,43.93,2112.13
965,2186.0,0.0,1062.78,2246.43
966,351.64,0.0,144.47,2071.69
967,1974.31,0.0,360.69,3227.24
968,2874.31,0.0,886.73,1987.58
969,2215.0,0.0,610.78,3208.44
970,462.0,253.0,253.0,418.0
971,2218.27,0.0,1204.71,4054.23
972,612.6,0.0,71.02,1083.16
973,3200.0,0.0,1048.9,10755.51
974,781.0,0.0,126.46,7854.45
975,1180.0,0.0,191.22,14831.7
976,1475.3,314.44,314.44,23217.24
977,1144.58,363.31,363.31,15625.36
978,330.8,92.32,92.32,4769.65
979,2621.15,741.05,741.05,7520.42
980,519.14,0.0,119.95,798.39
981,1443.3,470.05,470.05,973.25
982,1033.0,0.0,217.51,815.49
983,295.0,39.22,39.22,255.78
984,386.0,84.41,84.41,3015.89
985,813.1,260.2,260.2,552.9
986,3450.74,1216.54,1216.54,2234.2
987,225.0,78.65,78.65,146.35
988,2256.35,0.0,927.84,1328.51
989,732.0,260.2,260.2,1415.4
990,745.0,0.0,240.58,6052.99
991,864.2,0.0,226.8,6374.0
992,999.91,226.23,226.23,1547.35
993,1800.0,693.77,693.77,1106.23
994,2068.5,1261.99,1261.99,806.51
995,3213.0,0.0,1165.13,2047.87
996,2464.2,0.0,1067.99,5584.85
997,810.0,313.65,313.65,9926.9
998,1075.31,0.0,521.55,553.76
999,753.5,0.0,127.11,5011.1
1000,497.89,42.8,42.8,455.09
1001,2400.0,0.0,679.75,5160.75
1002,647.0,100.13,100.13,1093.74
1003,647.0,894.91,894.91,-495.82
