,CAN_TOT,FECHA_ENT,FECHA_VEN,CAN_TOT
131,20274.0,2019-09-19 00:00:00,2019-09-19,20274.0
132,1486.9,2019-09-10 00:00:00,2019-09-19,1486.9
133,385.00000000000006,2019-09-19 00:00:00,2019-10-04,385.00000000000006
134,919.46,2019-09-19 00:00:00,2019-09-19,919.46
135,1155.0,2019-09-19 00:00:00,2019-10-04,1155.0
136,852.2700000000001,2019-09-19 00:00:00,2019-09-19,852.2700000000001
137,3194.6400000000003,2019-09-19 00:00:00,2019-09-19,3194.6400000000003
138,252.16000000000003,2019-09-19 00:00:00,2019-09-19,252.16000000000003
139,48480.00000000001,2019-09-10 00:00:00,2019-10-19,48480.00000000001
140,35725.0,2019-09-13 00:00:00,2019-11-03,35725.0
141,232.8,2019-09-19 00:00:00,2019-09-19,232.8
142,110.00000000000001,2019-09-19 00:00:00,2019-09-19,110.00000000000001
143,252.16000000000003,2019-09-19 00:00:00,2019-09-19,252.16000000000003
144,19000.0,2019-09-19 00:00:00,2019-11-18,19000.0
145,4410.0,2019-09-19 00:00:00,2019-11-18,4410.0
146,3112.9900000000007,2019-09-19 00:00:00,2019-09-19,3112.9900000000007
147,252.16000000000003,2019-09-19 00:00:00,2019-09-19,252.16000000000003
148,252.16000000000003,2019-09-19 00:00:00,2019-09-19,252.16000000000003
149,249.05,2019-09-19 00:00:00,2019-10-04,249.05
150,1940.0000000000002,2019-09-13 00:00:00,2019-10-19,1940.0000000000002
151,3365.9,2019-09-19 00:00:00,2019-09-19,3365.9
152,43103.448200000006,2019-09-19 00:00:00,2019-09-19,43103.448200000006
153,19000.0,2019-09-19 00:00:00,2019-11-18,19000.0
154,1939.92,2019-09-20 00:00:00,2019-09-20,1939.92
155,3112.0000000000005,2019-09-20 00:00:00,2019-11-19,3112.0000000000005
156,568.11,2019-09-20 00:00:00,2019-09-20,568.11
157,568.11,2019-09-20 00:00:00,2019-09-20,568.11
158,841.34,2019-09-25 00:00:00,2019-09-20,841.34
159,33499.200000000004,2019-09-20 00:00:00,2019-11-19,33499.200000000004
160,420.00000000000006,2019-09-20 00:00:00,2019-09-20,420.00000000000006
161,33499.200000000004,2019-09-20 00:00:00,2019-11-19,33499.200000000004
162,5400.0,2019-09-20 00:00:00,2019-10-20,5400.0
163,720.0000000000001,2019-09-20 00:00:00,2019-09-20,720.0000000000001
164,777.1,2019-09-20 00:00:00,2019-09-20,777.1
165,193.99,2019-09-20 00:00:00,2019-09-20,193.99
166,1540.65,2019-09-05 00:00:00,2019-09-20,1540.65
167,2034.0000000000002,2019-09-20 00:00:00,2019-09-20,2034.0000000000002
168,4679.0,2019-09-10 00:00:00,2019-10-20,4679.0
169,120.00000000000001,2019-09-19 00:00:00,2019-09-20,120.00000000000001
170,2371.3500000000004,2019-09-19 00:00:00,2019-09-20,2371.3500000000004
171,252.16000000000003,2019-09-19 00:00:00,2019-09-20,252.16000000000003
172,14240.000000000002,2019-09-20 00:00:00,2019-11-24,14240.000000000002
173,142.26000000000002,2019-09-17 00:00:00,2019-09-20,142.26000000000002
174,1700.0000000000002,2019-09-18 00:00:00,2019-09-20,1700.0000000000002
175,708.0200000000001,2019-09-18 00:00:00,2019-09-20,708.0200000000001
176,111.00000000000001,2019-09-18 00:00:00,2019-09-20,111.00000000000001
177,918.34,2019-09-18 00:00:00,2019-09-20,918.34
178,102.42,2019-09-18 00:00:00,2019-09-20,102.42
179,695.69,2019-09-20 00:00:00,2019-09-20,695.69
180,2900.0,2019-09-19 00:00:00,2019-10-05,2900.0
181,280.0,2019-09-20 00:00:00,2019-09-20,280.0
182,7125.9000000000015,2019-09-17 00:00:00,2019-10-05,7125.9000000000015
183,7300.000000000001,2019-09-23 00:00:00,2019-10-08,7300.000000000001
184,3426.7500000000005,2019-09-23 00:00:00,2019-09-23,3426.7500000000005
185,50994.00000000001,2019-09-06 00:00:00,2019-10-23,50994.00000000001
186,2790.5000000000005,2019-09-23 00:00:00,2019-10-08,2790.5000000000005
187,2726.5200000000004,2019-09-23 00:00:00,2019-10-08,2726.5200000000004
188,1363.2600000000002,2019-09-23 00:00:00,2019-10-08,1363.2600000000002
189,1363.2600000000002,2019-09-23 00:00:00,2019-09-23,1363.2600000000002
190,2726.5200000000004,2019-09-23 00:00:00,2019-09-23,2726.5200000000004
191,1363.2600000000002,2019-09-23 00:00:00,2019-09-23,1363.2600000000002
192,1282.3300000000002,2019-09-23 00:00:00,2019-09-23,1282.3300000000002
193,1054.0,2019-09-20 00:00:00,2019-10-23,1054.0
194,1054.0,2019-09-20 00:00:00,2019-10-23,1054.0
195,1080.02,2019-09-23 00:00:00,2019-09-23,1080.02
196,1540.0000000000002,2019-09-23 00:00:00,2019-09-23,1540.0000000000002
197,3175.0000000000005,2019-09-23 00:00:00,2019-09-23,3175.0000000000005
198,10463.01,2019-09-25 00:00:00,2019-10-08,10463.01
199,4232.25,2019-09-18 00:00:00,2019-10-08,4232.25
200,10463.01,2019-09-25 00:00:00,2019-10-08,10463.01
201,4232.25,2019-09-18 00:00:00,2019-10-08,4232.25
202,4232.25,2019-09-18 00:00:00,2019-10-08,4232.25
203,2900.0000000000005,2019-09-23 00:00:00,2019-10-23,2900.0000000000005
204,1450.0000000000002,2019-09-23 00:00:00,2019-10-23,1450.0000000000002
205,1627.5000000000002,2019-09-13 00:00:00,2019-09-23,1627.5000000000002
206,6186.337500000001,2019-09-09 00:00:00,2019-09-23,6186.337500000001
207,1230.0,,2019-10-23,1230.0
208,6492.000000000001,2019-09-23 00:00:00,2019-09-23,6492.000000000001
209,2144.0,2019-09-24 00:00:00,2019-09-24,2144.0
210,1319.0,2019-09-24 00:00:00,2019-10-09,1319.0
211,4135.700000000001,2019-09-24 00:00:00,2019-09-24,4135.700000000001
212,4700.0,2019-09-23 00:00:00,2019-09-24,4700.0
213,1900.0000000000002,2019-09-24 00:00:00,2019-09-24,1900.0000000000002
214,287.1,2019-09-24 00:00:00,2019-09-24,287.1
215,287.1,2019-09-24 00:00:00,2019-09-24,287.1
216,3885.4800000000005,2019-09-24 00:00:00,2019-09-24,3885.4800000000005
217,36.0,2019-09-24 00:00:00,2019-09-24,36.0
